isolation_source,count
Rifle well CD01 at time point 6 / F; 5m depth; 0.1 filter,7
Rifle well FP-101 under high O2 conditions; 0.2 micron filter; 10% subassembly,7
Granular activated carbon,7
Skin swab,7
seagrass sediment,7
Gill tissue,7
feces from Zagget the koala,7
Water from hot water systems,7
koumiss,7
bronchial,7
Thorneside wastewater treatment plant,7
granular sludge from mesophilic upflow sludge blanket reactor,7
"Soil sample from Angelo meadow plot 2, 20cm depth, 2 days after second rain event (91mm)",7
Nasobronchial lavage,7
planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate until 250 mg/L maintanence and no molasses,7
bovine lymph node,7
BHI,7
Beef carcass after final wash,7
Tibetan lacustrine sediment,7
Exudate from ulcer,7
"freshwater lake, 40-80 m depth",7
broncoalveolar lavage,7
"freshwater lake, 80 m depth",7
Rifle well FP-101 under low O2 conditions; 0.2 micron filter; 10% subassembly,7
sample BD02T18 sea water enriched with oil for 18 days,7
Vaginal discharge,7
rice paddy soil,7
coastal sea water column HE361-02 at a depth of 3m,7
continental shelf sea water microbial communities,7
Sink,7
"anaerobic bioreactor effluent: Solids-removed thin stillage fed, 1 d SRT, 55C, pH 5.0",7
Main Ward,7
turkey meat,6
Food contact surface in food processing environment,6
Lavabo,6
cecum matter of weanling rat after 6 hour fasting; S27,6
air,6
Endotracheal tube,6
Independently evolved isolated clone of PA01 monocultured in Synthetic Cystic Fibrosis Media for 24 days in the absence of imipenem,6
intraoperative swabs,6
"enrichment culture AER1 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2, v/v) as carbon and energy sources",6
surface water collection during the winter,6
urine sample,6
Abscess,6
alternating anaerobic and microareobic bioreactor,6
nematode community,6
acidic soil,6
mine tailing,6
chicken feces,6
human patient,6
leaf-associated phyllosphere,6
Synovial fluid,6
sugarcane,6
Blood Culture,6
Catheter Tip,6
Abdominal infection,6
Independently evolved isolated clone of PA01 monocultured in 1 g/ml imipenem treated Synthetic Cystic Fibrosis Media for 24 days,6
Ready-to-cook chicken cutlets,6
poultry meat,6
Independently evolved isolated clone of PA01 co-cultured with S. maltophilia in Synthetic Cystic Fibrosis Media for 24 days in the absence of imipenem,6
Independently evolved isolated clone of PA01 co-cultured with S. maltophilia 8 g/ml treated Synthetic Cystic Fibrosis Media for 24 days,6
coal,6
Drain,6
sputum culture,6
anaerobic fermentation tank,6
pertoneal cavity,6
Independently evolved isolated clone of PA01 monocultured in 8 g/ml imipenem treated Synthetic Cystic Fibrosis Media for 24 days,6
groundwater from well H41 incubated with 12C bicarbonate for 21 days,6
marine water anammox upflow column reactor biofilm on non-woven sheet,6
Drainage,6
skin swab1574 from squamous cell carcinomas patient MST020,6
secretions,6
Independently evolved isolated clone of PA01 co-cultured with S. maltophilia 4 g/ml treated Synthetic Cystic Fibrosis Media for 24 days,6
cow feces,6
Independently evolved isolated clone of PA01 co-cultured with S. maltophilia 1 g/ml treated Synthetic Cystic Fibrosis Media for 24 days,6
-,6
skin swab1617 from squamous cell carcinomas patient MST026,6
Laboratory Derived,6
cecum matter of weanling rat after 6 hour fasting; S4,6
microbial mat,6
surgical intestinal biopsy,6
Bronchial aspiration,6
Independently evolved isolated clone of PA01 monocultured in 4 g/ml imipenem treated Synthetic Cystic Fibrosis Media for 24 days,6
high vaginal swab,6
Human blood,6
PNG CO2 seep-seep site,6
aspirate,6
Lettuce,6
"Soil sample from Angelo meadow plot 1, 20cm depth, 2 days after second rain event (91mm)",6
Urine Culture,6
skin swab1561 from squamous cell carcinomas patient MST018,6
Skin lesions,6
Zoo Composter number 3,6
compost soil,6
sediments washed off of a biofilm that was attached to a sub-lacustrine hydrothermal vent,6
Wintergreen Lake,6
Stomach biopsy,6
whole sponge tissue,6
unavailable,6
Rifle well CD01 at time point 3 / C; 5m depth; 0.1 filter,6
hot spring microbial mat,6
biochar-amended oxisol soil plot 8,6
mutant from a clinical S12/111 isolate,6
permafrost soil,6
Coastal marine water,6
standing water,6
Burn,6
Moore swab,6
indoor dust from athletic faciility gym,6
"Sichuan, China",6
Synechococcus culture from coastal marine water,6
shallow marine sediment,6
surgical wound,6
Caecum,6
Farm,6
coral reef macroalgae biofilm,6
PNG CO2 seep-control site,6
"Tissue samples (liver, spleen, lung, heart, kidney, ovaries, gut, and skin)",6
Rifle well FP-101 under high O2 conditions 0.1 micron filter; 10% subassembly,6
ET secretion,6
lungs of cystic fibrosis patient B,6
Environment - Horticulture,6
Oral cavity,6
Patient sample,6
skin swab1470 from squamous cell carcinomas patient MST012,6
skin swab1472 from squamous cell carcinomas patient MST012,6
deep-sea hydrothermal vent sediments from dive 4572,6
Sulfate-methane transisition zone estuary sediments 16-26 cm,6
sample Tc-Br; brine of Tanatar trona crystallizer,6
Cerrado soil,6
"chlorinated drinking water, site 3",6
"Deciduous woodland, University campus",6
Red Sea water column Station 91 - depth 500m,6
Tongue,6
indoor dust from athletic faciility office,6
Host Tissue,6
single cell amplified by MDA; hot spring,6
milk filter,6
cervicovaginal lavage,6
control oxisol soil plot 5,6
estuarine water,6
Rifle well FP-101 under low O2 conditions; 0.1 micron filter,6
Mixed salad,6
"Yunnan, China",6
microalgal biofuel cultivation pond,6
bronchial aspirate,6
soil near root of coffee,6
twig,5
cecum matter of weanling rat after 6 hour fasting; S26,5
Tracheal aspiration,5
skin swab1647 from squamous cell carcinomas patient MST030,5
Peadiatric - mop,5
Lower gallery with a lake; depressions in the wall,5
surface water collection during the late summer,5
orofaryngeal,5
Glendhu Ridge methane seep,5
Continental water,5
wound secretion,5
Unknow,5
dust,5
brine and surface sediment of soda-saline lake,5
sputum samples,5
a feces sample of chicken origin,5
Aquatic bird feces,5
body fluid,5
skin swab1645 from squamous cell carcinomas patient MST030,5
arsenic-containing biofilms,5
hydrothermal fluid,5
Pediatric Ward,5
cecum matter of weanling rat after 6 hour fasting; S32,5
Abdominal,5
marine sediment push core 14,5
Porites lutea and Goniastrea edwardsi coral colonies,5
stream surface water,5
packaged pickles,5
Powdered infant formula,5
cecum matter of weanling rat after 6 hour fasting; S21,5
blue hole oxygen minimum zone seawater 60 m,5
organs,5
Cow with clinical mastitis,5
ground pork,5
oil-polluted soil,5
compound leaves,5
scope,5
ocean sediment,5
cecum matter of weanling rat after 6 hour fasting; S30,5
Yungay Desert Soil Below Boulder,5
Tap water/sink,5
freshwater lake anaerobic enchiment culture with carbon source cellobiose,5
Gorgonian coral,5
internal organs,5
flocculating fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate,5
joint of pelvis,5
Fermented milk (Laban),5
Ixodes auritulus,5
Chicken fecal,5
Perirectal swab,5
freshwater lake Midhypolimnion,5
warwound (surv),5
citrus leaf,5
hind gut digesta,5
total DNA from escal light organ,5
Indonesia,5
gill tissue of clam,5
sputum sample,5
Ulcer,5
Lake Untersee,5
sputum specimen,5
Buffalo milk,5
Intertidal zone,5
Secondary wastewater,5
surface biofilm from hospital sink drain,5
Midstream urine,5
Red Sea water column Station 192 - depth 500m,5
Opalinus Clay rock porewater BRC-3 borehole,5
sewage from Environmental Centre Robert O. Picard,5
2-km deep subsurface thermal aquifer,5
Severe Trauma Site,5
subsurface aquifer sediment,5
single cell amplified by MDA; Dewar Creek hot spring,5
hot springs,5
wound drainage fluid,5
deep-sea hydrothermal vent sediments from dive 4488_9 depth 4-6 cm,5
caecal content,5
gill from hydrothermal vent,5
sea ice algal assemblage,5
freshwater pond,5
Pig farm,5
surface sediment from the estuary of Pearl River treated with pyrene for 6 days,5
Rifle well FP-101 under high O2 conditions; 1.2 micron filter; 10% subassembly,5
indoor dust from athletic faciility hallway,5
lichen thallus,5
"Supragingival dental plaque, molar tooth",5
Pork carcass,5
Simulated distribution system annular reactor,5
berry surface,5
Lansing Lake,5
hydrothermal sediments,5
tongue,5
Bovine rumen,5
hospital room swab,5
bovine milk,5
microbes were collected at JL-Dive96-S01,5
skin swab1389 from squamous cell carcinomas patient MST003,5
Near bottom seawater,5
ETT secretion,5
biofilm attached to a sub-lacustrine hydrothermal vent,5
deep-sea hydrothermal vent sediments from dive 4569_4 depth 0-3 cm,5
Red Sea water column Station 22 - depth 500m,5
woody crown gall,5
methane seep sediment,5
blood sample from neonates,5
Red Sea water column Station 34 - depth 258m,5
mineral soil,5
deli meat samples,5
Antibiotic Resistance Surveillance Program,5
blood sample from a 69 year old man who was hospitalized in ICU,5
wound swab from ulcer,5
Mud of a forest creek bank,5
Red Sea water column Station 192 - depth 10m,5
not known,5
Bronchial,5
"Subgingival plaque, gingival sulcus",5
preputial wash,5
String method,5
burn wound,5
puncture fluid,5
cold seep sediment sample 8 MPa II,5
draining liquid of kidney transplantation recipient,5
Red Sea water column Station 192 - depth 50m,5
skin swab1383 from squamous cell carcinomas patient MST003,5
joint fluid,5
"oral cavity, infant (15 months age)",5
Insect,5
soil sample,5
planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: no molasses with increasing thiocyanate,5
running water,5
kimchi,5
Rifle well CD01 at time point 5 / E; 5m depth; 0.1 filter,5
root canal,5
Pus swab,5
Soft tissues,5
fermented milk product nono,5
Diversion fluid,5
marine ANAMMOX bioreactor,5
seawater surrounding coral Acropora digitifera under thermal stress,5
cecum matter of weanling rat after 6 hour fasting; S5,5
cecum matter of weanling rat after 6 hour fasting; S35,4
hospital surface,4
bronchial secretion,4
Cecum and rectal contents from Capybaras,4
Peadiatric - occupied bed,4
cecum matter of weanling rat after 6 hour fasting; S6,4
spoiled uncooked beef,4
rivulet water,4
bronch,4
biofilm clogging methane capture system of an active municipal landfill in Southern Ontario,4
patient2,4
Red-pigmented microbial biofilm developed on the inner wall of a bioreactor,4
Peadiatric - sink,4
hip prothesis biopsy,4
poultry feces,4
Surveillance swab,4
fresh flowers,4
rectal swab of pregnant women,4
Pulmonary secretion,4
annelid root tissue scrapped from turkey femur surface after nine month of incubation underwater in a fjord,4
Fecal Swab,4
sewage water,4
non-axenic (unialgal) sample in BG-11 medium,4
biofilm scrapped from cow tibia surface after nine month of incubation underwater in a fjord,4
ventricular Assist Device,4
estuarine sediment,4
skin of face; 4 single-cells amplified by MDA combined with human skin metagenome reads,4
Ready-to-cook meat,4
phlegm,4
Fermented vegetables,4
Pharynx,4
proximal right femur,4
Foetal stomach content,4
teat swab,4
freshwater lake anaerobic enchiment culture with carbon source citrate,4
adult honey bee worker gut,4
Ear canal secretions,4
cecum matter of weanling rat after 6 hour fasting; S19,4
toilet,4
aquaculture marine sediment,4
Throat sample,4
Sepsis,4
liver abscess,4
pressure ulcer swab,4
complete digestive tract of R. prolixus; lab reared at Instituto Ren Rachou,4
pork from retail market,4
clinically diseased pig,4
soil of natural resort,4
sputum from COVID-19 patient,4
compost,4
Peadiatric - patient file,4
periphyton,4
United Kingdom,4
chicken swab,4
ice-free soil under anthropogenic influence from the patio of the Polish Polar Station Hornsund,4
Skin/soft tissue,4
ICU - door handle,4
Metagenome from cryopeg brine bacterial community,4
Hairmyres Hospital,4
Carcass Rinsate,4
ground water,4
Ascites,4
Pathology Lab,4
Superficial Swab,4
Sea water,4
saline spring sediment,4
sediment and water from a salsa lake of a terrestrial mud volcano,4
umbilical cord blood,4
anammox marine column reactor biofilm on non-woven sheet,4
endotracheal tube swab,4
Crown gall,4
skin swab1649 from squamous cell carcinomas patient MST030,4
patient in hospital,4
water sample,4
drinking water system-DS3,4
fresh chicken meat,4
perianal swab,4
leg tissue,4
combined biofilm from UBA (pink subaerial biofilm) and UBA BS (thick floating biofilm subdivided into strips) samples,4
carriage,4
Bronch wash,4
microaeration digestion Rep1,4
sample B1-Br-g2; brine of Lake Bitter-1,4
coastal sea water column HE361-13 at a depth of 3m,4
Catheter liquid,4
Methanogenic purified terephthalic acid process wastewater treatment bioreactor,4
Urine/Genitourinary,4
stalactite biofilm,4
pharynx,4
skin swab1385 from squamous cell carcinomas patient MST003,4
ocular,4
single cell amplified by MDA; Acidic hot spring,4
gravel soil,4
diseased buffalo with haemorrhagic septicaemia,4
ruminal content,4
lichen,4
Low salinity river system,4
Middle meatus,4
acid gruel,4
Coastal ocean surface water,4
salad,4
quartz stone sublithic biofilm,4
"human with diarrhea assosiated with seafood cunsumption, Hospital General",4
"fish, semi-finished product",4
enrichment from estuary sediment,4
N/C,4
Pernasal,4
microbial mat from rice patty soil,4
Amundsen Sea polynya,4
bronchial washing,4
rabbit meat processing plant environment,4
acid mine drainage in low-pH Fe(II)-oxidizing bioreactor,4
Mutton,4
bovine udder,4
skin swab1442 from squamous cell carcinomas patient MST008,4
stem gall,4
blood sample from a 51 year old man who was hospitalized in ICU,4
adult body,4
coastal water,4
shower drain,4
pea root nodules,4
Drainage basin water,4
NPA,4
Westmead Hospital,4
groin swab,4
floral nectar,4
marine hydrothermal chimney wall TVG10,4
arsenic-impacted human gut samples taken from 10 individuals over 4 consecutive days,4
Nero di Troia red wine (vintage 2007) undergoing spontaneous MLF and collected from three different vinifications performed in the same winery,4
Eye swab,4
enrichment on artificial chitin hydrogel particle,4
microbial mat from hypersaline water environment,4
cold seep sediment sample 8 MPa,4
phyllosphere,4
"chlorinated drinking water, site 4",4
control oxisol soil plot 7,4
"corpus, stomach",4
Liver abscess puncture fluid,4
urban runoff waters,4
Mastitis Clinica,4
Trachealaspirate,4
sink tap,4
Red Sea water column Station 192 - depth 100m,4
clam larvae,4
raw grated beetroot-associated outbreaks,4
swab sample of gingival sulcus (mouth) from 5 year old male Dolphin_J,4
Corpse,4
Human gut,4
Potato with the soft rot symptoms,4
skin swab1378 from squamous cell carcinomas patient MST002,4
wound exudate of bone fracture from a Chinese 76-year-old male,4
blood culture from bacteremic patient,4
Red Sea water column Station 12 - depth 47m,4
"Guangdong, China",4
ground turkey,4
hospital sink drain,4
skin swab1483 from squamous cell carcinomas patient MST013,4
microbial mat from volcanic crater lake,4
hypoxic fjord sediment,4
"MAMC Hospital, New Delhi",4
Treated sewage effluent,4
Urines,4
Homo sapiens,4
Smoked Turkey,4
Red Sea water column Station 149 - depth 500m,4
sink,4
Shunt fluid,4
"Anoxic, hypersaline lake sediments",4
Beef plant conveyer belts,4
inner organs,4
Human stool,4
skin swab1556 from squamous cell carcinomas patient MST017,4
pork trim,4
sub-gingival plaque oral cavity,4
central venous catheter,4
cloacal content,4
aquatic,4
Rifle background sediment; well D04 at 19ft depth,4
broiler feces,4
"450 nm filtrate of pink subaerial biofilm microbial community collected from the base of 2m high pile of pyrite sediment over which pH 1.1, 41C acid mine drainage solution was flowing",4
Water sample from NSHQ14 Well,4
ground beef,4
shallow subsurface groundwater,4
water column of the freshwater reservoir Embalse de Amadorio in Spain,4
"deep chlorophyll maximum in the Mediterranean off the coast of Alicante, Spain, 75m below sea surface",4
shoreline saltwater,4
milk product,4
swab from patient with pharyngitis/tonsilitis,4
Necrotic lesion of AOD affected tree,4
combined sewer effluent,4
pooled data from three different soil samples,4
Kent Lake,4
"fungal streamer biofilms collected from the 5-way site of the Richmond Mine at Iron Mountain, California. The pH of the acid mine drainage the biomass was sampled from was 0.98, and the temperature was 38C",4
UKL13 co-culture; a single cyanobacterial colony from a depth-integrated water sample grown as a non-axenic culture,4
drinking water system-raw water,4
skin swab1391 from squamous cell carcinomas patient MST003,4
seafood factory FBO1,4
Freshwater under a salinity gradient,4
stone fragments,4
ROV grab from gas hydrate in Gulf of Mexico,4
single protist cell from termite hindgut,4
Nasopharyngeal,4
ancient permafrost soil,4
"Core Sample RR0603-10TC of length 255 cm taken with a corer, trigger wt. by the ship the Roger Revelle, Cruise ID RR0603",4
bloodstream infection,4
single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface,4
urine catheter,4
ceca contents,4
dairy goats with persistent mastitis after therapy with enrofloxacin,4
brain abscess,4
vaginal sample,4
sputum lung,4
swab sample of gingival sulcus (mouth) from 29 year old lactating female Dolphin_Z,4
skin swab1381 from squamous cell carcinomas patient MST003,4
Red Sea water column Station 169 - depth 100m,4
fermented food,4
deep-sea water,4
non-axenic culture of diatom,4
Continental Water,4
muscle,4
infected rice leaf,4
freshwater lake anaerobic enchiment culture with carbon source acetate,4
sediment inoculated into enrichment culture with sulfur,4
seawater surrounding coral Acropora digitifera under normal condition,4
UR CVS,4
child feces,4
Human stomach,4
Urine Cath,4
cuticle,4
drainage tube,4
Peadiatric - phone,4
surface seafloor hadal sediment,4
solar saltern sediment,4
Digestive,4
surface glacier,4
lysogeny broth,4
Swab from Pharynx,3
Blood and CSF,3
groundwater from shale-hosted aquifer,3
Hand,3
Urban soil,3
contaminated soil,3
Hot spring sediment,3
fresh-cut fruits,3
Japanese tripe stew,3
Petroleum contaminated soil,3
raw milk,3
proximal left femur,3
Homogenized buffalo flies,3
ICU - bp apparatus,3
MISSING,3
Pleural Fluid,3
Wastewater Effluent,3
30 degree sequencing batch reactor activited sludge day 315,3
Superficial wound,3
Basa fillet,3
tip of aspiration catheter,3
Lysogeny broth,3
Tracheal intubation,3
Brine cheese,3
Ozama River,3
paddy plant,3
Fish farm,3
lung tissue,3
human stool,3
diarrheal patient,3
biofilm from carbon steel corrosion coupon exposed to oil field production water,3
hospital environment,3
anaerobic methane-oxidizing enrichment culture from terrestrial mud volcano,3
diaphragm,3
post continuous fermentation,3
tar pit sediment,3
root and surrounding soil,3
mangrove,3
cecum matter of weanling rat after 6 hour fasting; S31,3
Laboratory environment,3
cecum matter of weanling rat after 6 hour fasting; S7,3
enrichment culture from terrestrial mud volcano,3
skin; prosthetic joint infection,3
raw sewage,3
geothermal lake,3
environmental swabs,3
garden soil,3
Hepato/biliary,3
groundwater from well H41 incubated with 12C bicarbonate for 43 days,3
cancer patient,3
dry sand,3
Bloodstream,3
hot spring sediment from GC-10 spring,3
Peadiatric - door handle,3
Diseased Shrimp,3
sediment from soda lake pond DKS with sediment salt concentration 33%,3
lakeshore surface sediment,3
cecum matter of weanling rat after 6 hour fasting; S25,3
estuary sediment,3
Farm Water Source,3
A highway near a former nuclear weapons processing plant,3
Swab from tracheostomic tube,3
intestinal tract,3
chicken meat products,3
Patient5 sputum,3
feces from a porcine slaughterhouse,3
anal swab sample,3
feces from farm,3
Clinical laboratory,3
stem,3
soft tissue inflammation site,3
dead bats,3
Venous Ductal Blood,3
adult patient with underlying chronic lung disease,3
Cattle Farm,3
humified soil,3
Secretion of sternum incision,3
blood sample from a 64 year old man who was hospitalized in ICU,3
tomato,3
Urbana Champaign Sanitary District anaerobic digester sludge,3
hydraulically fractured well fluid at Timepoint_82,3
human faecal sample,3
enrichment culture of acidophilic archaea inoculated from snottite biofilm from former pyrite mine,3
seafood factory FBO7,3
thallus,3
Seawater sample collected from Red Sea (Saudi Arabia) at 20 m depth,3
mucus,3
seroperitoneum,3
lake sediment,3
pleural fuid,3
Red Sea water column Station 149 - depth 25m,3
MISC,3
Corrosion products from a corroded pipe in an FPSO,3
Softened Water,3
cornea from keratitis patient,3
Meretrix lusoria,3
human clinical sample,3
Lembah Pantai River,3
neonatology unit from Hospital,3
breast milk,3
Diarrheal patient stool,3
escal light organ,3
agricultural field,3
deep sea sediment sample 4862-08 in thermophilic enrichment culture,3
drain fluid,3
Red Sea water column Station 34 - depth 10m,3
"roots, endophytic",3
Tracheal Secretions,3
sputum from cystic fibrosis patient,3
macro-algae,3
ZCTH01 thermophilic microbial consortium from compost grown on carboxymethylcellulose as a sole carbon source,3
Pleural effusion,3
blood sample from a 46 year old woman who was hospitalized in ICU,3
anaerobic bioreactor,3
Chicken product,3
Red Sea water column Station 169 - depth 10m,3
Bronchial secretion,3
Nose from military trainee,3
Head LN,3
enrichment culture from freshwater algal bloom,3
combined sewer,3
Diseased olive flounder,3
"Patients with gastritis or gastric ulcer examined with a gastroscope at People's Hospital, Bama County",3
Red Sea water column Station 169 - depth 50m,3
nodules,3
Bovine urine,3
Periodontal pocket,3
chelonian,3
Red Sea water column Station 169 - depth 500m,3
foregut; single cell amplified by MDA,3
The RAS Atlantic Salmon facility,3
ice cream,3
Fecal samples of patients suffering diarrhea,3
salt lake,3
Opalinus Clay rock BIC-A1 borehole,3
blood from patient with pneumonia,3
"Oral cavity, infant (2 months of age)",3
cowhouse,3
hydrothermal plume in the Mid-Cayman Rise,3
wound pus,3
sebeceous gland on nose of healthy male,3
Blood culture from newborn,3
Guinea fowl,3
enrichment culture inoculated with sediment from anoxic soda lake,3
total DNA from caruncle light organ,3
fresh chicken carcass,3
goat,3
Sediments from shelf,3
pasture soil,3
"base of a wide chlorophyll maximum feature, near the base of the euphotic zone",3
drainage liquid,3
Rifle background sediment; well D04 at 13ft depth,3
feces from healthy female,3
methane hydrate marine sediment,3
MSU2 Lake,3
white microbial mat from deep sea hydrothermal sediment,3
duodenal mucosa,3
Red Sea water column Station 34 - depth 200m,3
Red Sea water column Station 149 - depth 10m,3
Apodemus sylvaticus Tissue Culture,3
surface sediment from the estuary of Pearl River treated with pyrene for 12 days,3
fecal matter,3
respiratory track,3
leg wound,3
stream rock,3
spring sediment,3
Interior of surface sterilised leaf tissue,3
Little Long Lake,3
Turkey Cecum,3
Agricultural soils with sugarcane crop,3
biochar-amended oxisol soil plot 4,3
almond drupe,3
"leaves, endophytic",3
Floral nectar,3
beef liver,3
"Lesioned lung of an infected beef cattle, Yingcheng city in Hubei province, China. In vitro subculture.",3
Chicken Cecal Content,3
estuary,3
skin lesion,3
fetus,3
nose of healthy child,3
Panama Canal Zone,3
Crassostrea gigas,3
blood sample from a 65 year old man who was hospitalized in ICU,3
mining drainage,3
Central venous line,3
beetle eggs,3
groundwater from deep subsurface site,3
water sample collected from a newly drilled coal seam bore well (65 hours after drilling),3
Oyster,3
marine sediment sample collected by push cores at a deep sea vent site during cruise AT15-25 on Alvin dive 4358; sediment was oily and the sediment surface was covered with a white microbial mat,3
Per urether catheter urine,3
Juan De Fuca Ridge Crustal Fluid,3
4-6 years old child with healthy oral,3
"chlorinated drinking water, site 2",3
infant stool,3
chicken fecal material,3
Palma de Mallorca,3
cervical,3
adult mosquito gut,3
thermophilic sediment from acid hot spring,3
hydraulically fractured well fluid,3
"oral cavity, infant (13 months of age)",3
gill tissue,3
ear swab,3
fecal screen,3
bronch wash,3
Urethral swab,3
Environment - Horticulture Equipment,3
Wood,3
deep sediment,3
"Soil sample from Angelo meadow plot 1, 20cm depth, 6 days after first rain event (27mm)",3
sputum of patient with MDR-TB,3
Bone tissue,3
skin lesions of acne,3
powdered infant formula,3
seafood factory FBO5,3
brackish surface water,3
chicken caeca,3
blood from Melioidosis patient,3
plant leaf,3
cecal contents of broiler chicken,3
Rodent,3
brine fluids,3
freshwater reservoir from 12m and 25m depth,3
Wound Swab,3
flocculating fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: no molasses with increasing thiocyanate,3
AHPND infected Litopenaeus vannamei,3
vagina swab from a perinatal mother,3
raw sausage,3
Maize rhizosphere,3
oil polluted marine water,3
Rifle well CD01 at time point 1 / A; 5m depth; 0.1 filter,3
"Mouse fibroblast, L929",3
Male patient with Chronic Granulomatous Disease,3
copepod,3
Respiratory sample,3
Peritoneal Fluid,3
biofilm from deap sea brine pool,3
blood sample from a 79 year old man who was hospitalized in ICU,3
Baseline Lake,3
"subgingival plaque, gingivitis",3
Biological sample,3
stored topsoil,3
cephalic recording chamber,3
seafood factory FBO2,3
chicken meat from slaughterhouse,3
Processing enviroment,3
Foci,3
Blood from newborn,3
Vaginal swab,3
Antrum and Corpus,3
seawater from shallow-sea hydrothermal system,3
Rifle well FP-101 under high O2 conditions; 0.1 micron filter,3
surface sediment from the estuary of Pearl River treated with pyrene for 24 days,3
pyogenic fluids of percutaneous drainage,3
Hanford 300 Area IFRC 399-1-60 Groundwater,3
agarose-alginate mix 40-100 m particle (artificial) late colonization,3
Plant tissue,3
Red Sea water column Station 108 - depth 10m,3
stool sample from Guillain-Barre syndrome patient,3
Red Sea water column Station 108 - depth 500m,3
"freshwater reservoir, 30 m depth",3
microbial mat ULC084,3
PUS,3
Red Sea water column Station 12 - depth 25m,3
Unknown meat,3
Milker's hand,3
Patient2 sputum,3
retail beef liver,3
"Guaymas Basin sediment: dive 4572 depth 12-15 cm, dive 4572 depth 0-3 cm, dive 4484 depth 3-4 cm, dive 4484 depth 0-1 cm",3
dairy goats with persistent mastitis before therapy with enrofloxacin,3
Diseased shoots,3
secreta,3
sewage sludge,3
Salad,3
hindgut of Cryptocercus punctulatus,3
Raw Milk,3
Mastitis Subclinica,3
human,3
stool from botulism patient,3
Middle Meatus,3
biological material,3
Composting distilled shochu residue,3
Postoperative maxillary cyst,3
cucumber,3
Pork meat,3
Pericardial fluid,3
hydrocarbon,3
chyroptera,3
Red Sea water column Station 169 - depth 200m,3
blood sample from a 66 year old woman who was hospitalized in ICU,3
Malaysia,3
Patient1 sputum,3
Deep phlegm,3
Kombucha multimicrobial community exposed to Mars-like environment (sample carrier at the ISS),3
C GEN,3
hospital wastewater,3
Superficial Wound Swab,3
proximal left tibia,3
fecal sample from diarrhoea affected cattle A,3
bubbling pool in the central crater-like structure of an active mud volcano,3
glacial surface ice,3
Sea ice cryoconite,3
duodenum of female CD1 mouse,3
cecum matter of weanling rat after 6 hour fasting; S23,3
traumatic discharge,3
urethral exudate,3
deap sea cold seep sediment,3
groundwater from well H41 incubated with 12C bicarbonate for 70 days,3
cecum matter of weanling rat after 6 hour fasting; S9,3
Peadiatric - unoccupied bed,3
lagoon,3
Ready-to-cook meat cutlets,3
"acid mine drainage site biofilm from emergence, outflow channel, and Rose Pool",3
microaeration digestion Rep2,3
fecal pellet,3
Decubitus Pressure Ulcers,3
Placental cotyledons,3
fungal plug from cicada Magicicada septendecim abdomen,3
Saline water lake sediment,3
bronchoalveolar fluid,3
mobile phone surface,3
Bothnian Sea site NB8 sediments 37-42 cm depth; used to inoculate methane- and iron-fed bioreactor (T0); bioreactor biomass 16 months after reactor inoculation (T1); and 29 months after reactor inoculation (T2),3
ICU - unoccupied bed,3
pond,3
cutter waggon,3
intraabdominal abscess,2
GI,2
Acid mine drainage site biofilm from emergence,2
conjunctiva,2
faecal swab,2
deep tracheal aspirate (DTA),2
"waste water treatment plant, post chlorination",2
Tidal flat sediment,2
cecum matter of weanling rat after 6 hour fasting; S11,2
central venous catheter (CVC),2
Abdominal ascites fluid,2
environmental swab (scale for baby),2
crude oil contaminated soil,2
Ethiopian Kocho,2
saline lake water,2
infant intestine,2
uterus of a mare who aborted a 7-month gestation fetus,2
Farm water farm 5,2
oral swab,2
alveolar bronchial lavage,2
Faecal,2
inland salt marsh enrichment culture,2
stone ruins (granite) of a fort,2
Urine permanent catheter,2
Umbilicus,2
"sediment collected in IODP Expedition 375 from site U1519C, depth 253.01 mbsf",2
cecum matter of weanling rat after 6 hour fasting; S18,2
urine (permanent catheter),2
secret of the respiratory tract,2
Intraabdominal tissue,2
Ascitic Fluid,2
blood from neonate,2
patient1,2
"unknown, clinical",2
geothermal field,2
"sediment collected in IODP Expedition 375 from site U1519E, depth 20.83 mbsf",2
Chicken salad,2
Patient8 sputum,2
bedsore,2
mud volcano,2
Hospital wastewater,2
crab,2
intertidal mangrove sediment,2
Bedsore,2
blood total,2
swine excrement,2
ascitic liquid,2
Tracheobronchial aspirates,2
Chancre,2
"sediment collected in IODP Expedition 375 from site U1519E, depth 80.64 mbsf",2
hot spring sediment from GC-01 spring,2
subtidal marine sponge,2
midrib of citrus leaves,2
cecum matter of weanling rat after 6 hour fasting; S20,2
respiratory tracks,2
swab from purulent wound,2
org_particles,2
pool of 3 insecticide susceptible adult insects collected from Citrus sinensis (L.) Osbeck (navel orange),2
3rd dilution order of 4-month-old decomposing pine tree sawdust,2
