gtdb_species_clade_id,n_genomes_total,n_genomes_with_env,n_distinct_env_broad,n_distinct_env_local,n_distinct_env_medium,env_coverage_fraction,env_broad_entropy,GTDB_species
s__Bifidobacterium_globosum--RS_GCF_000741295.1,97,80,13,9,7,0.8247422680412371,1.8845073732266977,s__Bifidobacterium_globosum
s__Staphylococcus_xylosus--RS_GCF_002732165.1,66,13,7,6,5,0.19696969696969696,2.7534343861772435,s__Staphylococcus_xylosus
s__Enterobacter_bugandensis--RS_GCF_900324475.1,186,13,2,2,3,0.06989247311827956,1.2957378005336841,s__Enterobacter_bugandensis
s__Campylobacter_D_coli--RS_GCF_000254135.1,1130,9,6,4,2,0.007964601769911504,2.6416041678584943,s__Campylobacter_D_coli
s__Bacillus_licheniformis--RS_GCF_000011645.1,226,112,16,31,9,0.49557522123893805,1.4761398549206837,s__Bacillus_licheniformis
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,274,13,5,3,2,0.04744525547445255,2.1416195253254817,s__Bacillus_A_toyonensis
s__Bacillus_A_cereus--RS_GCF_000007825.1,249,41,15,11,7,0.1646586345381526,2.824500604832087,s__Bacillus_A_cereus
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,246,74,8,4,6,0.3008130081300813,1.1110107629718708,s__Acinetobacter_nosocomialis
s__Helicobacter_pylori_CJ--RS_GCF_003637685.1,72,0,0,0,0,0.0,0.0,s__Helicobacter_pylori_CJ
s__Eggerthella_lenta--RS_GCF_000024265.1,98,40,6,4,3,0.40816326530612246,2.1649798205063826,s__Eggerthella_lenta
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,69,54,7,5,2,0.782608695652174,1.8985968485409854,s__Ligilactobacillus_ruminis
s__Cronobacter_sakazakii--RS_GCF_000982825.1,449,1,1,0,1,0.0022271714922048997,-1.4428232973175175e-12,s__Cronobacter_sakazakii
s__Prochlorococcus_A_sp000635495--GB_GCA_000635495.1,74,71,2,3,3,0.9594594594594594,0.5228488800027915,s__Prochlorococcus_A_sp000635495
s__Serratia_nematodiphila--RS_GCF_000738675.1,92,35,5,3,2,0.3804347826086957,1.0469559066877505,s__Serratia_nematodiphila
s__Vibrio_cholerae--RS_GCF_000621645.1,1538,117,3,5,3,0.07607282184655396,0.884354604927729,s__Vibrio_cholerae
s__Bacillus_subtilis--RS_GCF_000009045.1,559,127,31,21,11,0.22719141323792486,3.51630864174402,s__Bacillus_subtilis
s__Staphylococcus_ureilyticus--RS_GCF_002902235.1,81,2,1,1,2,0.024691358024691357,0.9999999999971146,s__Staphylococcus_ureilyticus
s__Parabacteroides_distasonis--RS_GCF_000012845.1,287,156,13,10,8,0.5435540069686411,2.4021129918593935,s__Parabacteroides_distasonis
s__Glaesserella_parasuis--RS_GCF_002015085.1,107,2,1,1,1,0.018691588785046728,0.9999999999971146,s__Glaesserella_parasuis
s__Borreliella_garinii--RS_GCF_001922545.1,93,52,2,1,0,0.5591397849462365,0.13709947889693233,s__Borreliella_garinii
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,240,159,11,9,10,0.6625,1.1343190311226032,s__Lactobacillus_delbrueckii
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1,126,6,2,2,1,0.047619047619047616,1.2516291673834947,s__Achromobacter_xylosoxidans
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,102,64,7,5,2,0.6274509803921569,1.9437178909534538,s__Fusicatenibacter_saccharivorans
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,1923,17,6,6,4,0.008840353614144566,2.4692407821621853,s__Listeria_monocytogenes_B
s__Enterococcus_B_hirae--RS_GCF_000271405.2,229,115,8,7,3,0.5021834061135371,1.3112386739962172,s__Enterococcus_B_hirae
s__Agathobacter_rectalis--GB_GCA_000020605.1,228,152,11,8,5,0.6666666666666666,2.3623169773822044,s__Agathobacter_rectalis
s__Staphylococcus_argenteus--RS_GCF_000236925.1,218,43,2,1,2,0.19724770642201836,0.42912234084906076,s__Staphylococcus_argenteus
s__Bifidobacterium_animalis--RS_GCF_000260715.1,115,51,9,8,5,0.4434782608695652,2.4509249049115027,s__Bifidobacterium_animalis
s__Alistipes_putredinis--RS_GCF_000154465.1,69,60,6,4,2,0.8695652173913043,1.8568002590794261,s__Alistipes_putredinis
s__Serratia_nevei--RS_GCF_008364245.1,182,53,3,0,1,0.29120879120879123,0.6747022747270053,s__Serratia_nevei
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,622,29,12,7,3,0.04662379421221865,2.9658856363751323,s__Bacillus_A_bombysepticus
s__Rhodococcus_equi--RS_GCF_002094305.1,83,20,2,2,2,0.24096385542168675,0.5689955935849531,s__Rhodococcus_equi
s__Streptococcus_suis--RS_GCF_000294495.1,1621,81,3,1,2,0.0499691548426897,1.4063550391207957,s__Streptococcus_suis
s__Brucella_melitensis--RS_GCF_000007125.1,844,117,5,2,3,0.1386255924170616,1.089712213885025,s__Brucella_melitensis
s__Vibrio_anguillarum--RS_GCF_001989995.2,164,2,2,1,1,0.012195121951219513,0.9999999999971146,s__Vibrio_anguillarum
s__Gemmiger_qucibialis--GB_GCA_004000625.1,88,67,7,5,3,0.7613636363636364,2.267513088501749,s__Gemmiger_qucibialis
s__Citrobacter_braakii--RS_GCF_002075345.1,166,55,10,4,3,0.3313253012048193,2.463584042325972,s__Citrobacter_braakii
s__Methanosarcina_mazei--RS_GCF_000970205.1,77,70,3,2,3,0.9090909090909091,0.940910958564011,s__Methanosarcina_mazei
s__Prevotella_copri_B--RS_GCF_009494135.1,112,39,5,3,2,0.3482142857142857,2.008343792885478,s__Prevotella_copri_B
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,250,30,1,1,0,0.12,0.21084230031564677,s__Agrobacterium_tumefaciens
s__Rhizobium_rhizogenes--RS_GCF_000696095.1,57,3,0,0,0,0.05263157894736842,-1.4428232973175175e-12,s__Rhizobium_rhizogenes
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,307,7,5,5,5,0.02280130293159609,2.4056390622209105,s__Mammaliicoccus_sciuri
s__Acinetobacter_pittii--RS_GCF_000369045.1,360,52,6,9,12,0.14444444444444443,1.9558917782736374,s__Acinetobacter_pittii
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,270,16,8,6,5,0.05925925925925926,2.6467822215868138,s__Bacillus_A_thuringiensis
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,117,25,11,9,9,0.21367521367521367,2.8515107774704624,s__Streptomyces_albidoflavus
s__Fimenecus_sp000432435--GB_GCA_000432435.1,78,61,6,4,2,0.782051282051282,1.8894583184139333,s__Fimenecus_sp000432435
s__Rickettsia_rickettsii--RS_GCF_001951015.1,78,37,0,1,1,0.47435897435897434,-1.4428232973175175e-12,s__Rickettsia_rickettsii
s__Clostridioides_difficile--RS_GCF_001077535.1,2604,366,7,6,3,0.14055299539170507,0.9740828214716645,s__Clostridioides_difficile
s__Klebsiella_variicola--RS_GCF_000828055.2,652,57,7,3,8,0.08742331288343558,0.9711219025453897,s__Klebsiella_variicola
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,117,32,6,4,2,0.27350427350427353,1.9153082974784996,s__Bacteroides_fragilis_A
s__Bacillus_A_mycoides--RS_GCF_000832605.1,124,17,4,3,2,0.13709677419354838,1.726347224336207,s__Bacillus_A_mycoides
s__Riemerella_anatipestifer--RS_GCF_000252855.1,106,1,1,1,1,0.009433962264150943,-1.4428232973175175e-12,s__Riemerella_anatipestifer
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1,1804,19,4,3,6,0.010532150776053215,1.7187828921200423,s__Vibrio_parahaemolyticus
s__Acinetobacter_indicus--RS_GCF_000488255.1,140,4,1,1,1,0.02857142857142857,0.8112781244562475,s__Acinetobacter_indicus
s__Aeromonas_salmonicida--RS_GCF_001643305.1,80,5,0,1,1,0.0625,-1.4428232973175175e-12,s__Aeromonas_salmonicida
s__Staphylococcus_simulans--RS_GCF_002902285.1,78,2,2,2,2,0.02564102564102564,0.9999999999971146,s__Staphylococcus_simulans
s__Citrobacter_B_koseri--GB_GCA_900446925.1,117,9,2,2,1,0.07692307692307693,1.3921472236602066,s__Citrobacter_B_koseri
s__Pseudomonas_E_amygdali--RS_GCF_002699855.1,239,13,2,0,1,0.05439330543933055,0.7732283485205895,s__Pseudomonas_E_amygdali
s__Borreliella_burgdorferi--RS_GCF_000008685.2,140,67,2,1,0,0.4785714285714286,0.30489516060269817,s__Borreliella_burgdorferi
s__Pelagibacter_sp003209915--GB_GCA_003209915.1,79,79,1,1,2,1.0,0.3403732857567606,s__Pelagibacter_sp003209915
s__Staphylococcus_chromogenes--RS_GCF_002901945.1,140,6,1,1,1,0.04285714285714286,0.9182958340516041,s__Staphylococcus_chromogenes
s__Escherichia_fergusonii--RS_GCF_000026225.1,136,60,2,2,1,0.4411764705882353,0.6853290549284192,s__Escherichia_fergusonii
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,123,52,6,8,1,0.42276422764227645,1.4965289693977668,s__Corynebacterium_pseudotuberculosis
s__Xanthomonas_cissicola--RS_GCF_008801575.1,256,39,4,4,3,0.15234375,1.6157623533929324,s__Xanthomonas_cissicola
s__Xylella_fastidiosa--RS_GCF_011801475.1,140,20,7,3,5,0.14285714285714285,2.6464393446594743,s__Xylella_fastidiosa
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,69,25,12,11,8,0.36231884057971014,2.9582678680810868,s__Rhodococcus_qingshengii
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,732,196,24,20,19,0.2677595628415301,2.4734454677610813,s__Lactiplantibacillus_plantarum
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,81,72,8,6,2,0.8888888888888888,2.09003283204776,s__Phascolarctobacterium_faecium
s__Streptococcus_gordonii--RS_GCF_001553855.1,89,12,4,3,3,0.1348314606741573,2.054585169330586,s__Streptococcus_gordonii
s__Clostridium_F_botulinum--RS_GCF_001276985.1,265,2,2,2,1,0.007547169811320755,0.9999999999971146,s__Clostridium_F_botulinum
s__Pantoea_agglomerans--RS_GCF_001598475.1,135,49,11,8,6,0.362962962962963,2.7471162054774694,s__Pantoea_agglomerans
s__Pantoea_ananatis--RS_GCF_000710035.2,163,24,5,6,4,0.147239263803681,1.6368421881223554,s__Pantoea_ananatis
s__Xanthomonas_A_translucens--RS_GCF_000331775.1,80,10,3,3,3,0.125,1.5709505944488977,s__Xanthomonas_A_translucens
s__Aeromonas_hydrophila--RS_GCF_000014805.1,169,52,7,8,5,0.3076923076923077,1.9968439462607508,s__Aeromonas_hydrophila
s__Bariatricus_comes--GB_GCA_025149785.1,64,38,4,3,1,0.59375,1.110908622166489,s__Bariatricus_comes
s__Streptococcus_sp001556435--RS_GCF_009738225.1,83,47,6,4,6,0.5662650602409639,2.1301323896897593,s__Streptococcus_sp001556435
s__Burkholderia_mallei--RS_GCF_000011705.1,1741,3,1,2,2,0.0017231476163124641,0.9182958340516041,s__Burkholderia_mallei
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,88,59,7,6,3,0.6704545454545454,2.02724253608504,s__Odoribacter_splanchnicus
s__Tenacibaculum_finnmarkense_A--RS_GCF_900239185.1,90,0,0,0,0,0.0,0.0,s__Tenacibaculum_finnmarkense_A
s__Mycobacterium_abscessus--RS_GCF_000069185.1,1825,3,1,0,0,0.0016438356164383563,0.9182958340516041,s__Mycobacterium_abscessus
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,1315,265,14,17,12,0.20152091254752852,2.906232922829725,s__Staphylococcus_epidermidis
s__Escherichia_albertii--RS_GCF_000759775.1,163,74,3,3,3,0.4539877300613497,0.5074604844742184,s__Escherichia_albertii
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,207,167,12,10,4,0.8067632850241546,2.482866499276604,s__Bacteroides_xylanisolvens
s__Weissella_confusa--GB_GCA_001436895.1,96,71,8,10,15,0.7395833333333334,1.9283216592664116,s__Weissella_confusa
s__Bacillus_A_nitratireducens--RS_GCF_001884135.1,13,2,1,0,1,0.15384615384615385,0.9999999999971146,s__Bacillus_A_nitratireducens
s__Campylobacter_fetus--RS_GCF_900475935.1,68,0,0,0,0,0.0,0.0,s__Campylobacter_fetus
s__Acinetobacter_seifertii--RS_GCF_000368065.1,80,18,1,0,1,0.225,0.3095434291474398,s__Acinetobacter_seifertii
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,104,15,5,5,4,0.14423076923076922,2.1464657984954156,s__Pectobacterium_brasiliense
s__Sinorhizobium_meliloti--RS_GCF_017876815.1,241,14,3,1,2,0.058091286307053944,1.089230078836814,s__Sinorhizobium_meliloti
s__Listeria_monocytogenes--RS_GCF_900187225.1,2212,14,7,4,4,0.006329113924050633,2.4066663167305906,s__Listeria_monocytogenes
s__Pediococcus_acidilactici--RS_GCF_000146325.1,213,146,7,6,6,0.6854460093896714,0.9129337450067859,s__Pediococcus_acidilactici
s__Vibrio_alginolyticus--RS_GCF_000354175.2,290,11,2,1,3,0.03793103448275862,0.8658566174528953,s__Vibrio_alginolyticus
s__Burkholderia_vietnamiensis--RS_GCF_000959445.1,130,10,3,2,3,0.07692307692307693,1.6854752972215634,s__Burkholderia_vietnamiensis
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,65,22,4,3,2,0.3384615384615385,2.003108890570641,s__Faecalibacillus_intestinalis
s__Phocaeicola_dorei--RS_GCF_013009555.1,135,93,10,9,7,0.6888888888888889,2.592954480652346,s__Phocaeicola_dorei
s__Bacteroides_ovatus--RS_GCF_001314995.1,212,86,9,8,3,0.4056603773584906,2.1936199827727823,s__Bacteroides_ovatus
s__Aliarcobacter_butzleri--RS_GCF_900187115.1,81,7,3,3,2,0.08641975308641975,1.950212064908976,s__Aliarcobacter_butzleri
s__Helicobacter_pylori_C--RS_GCF_000277405.1,609,123,3,5,2,0.2019704433497537,0.25565829530383266,s__Helicobacter_pylori_C
s__Xanthomonas_hortorum--RS_GCF_002939985.1,71,12,1,1,2,0.16901408450704225,0.6500224216454688,s__Xanthomonas_hortorum
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,122,71,6,5,2,0.5819672131147541,1.2769758077003677,s__Ruminococcus_B_gnavus
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,128,30,8,5,8,0.234375,2.5608725820087415,s__Pseudomonas_E_alloputida
s__Corynebacterium_diphtheriae--RS_GCF_001457455.1,389,0,0,0,0,0.0,0.0,s__Corynebacterium_diphtheriae
s__Enterobacter_asburiae_B--RS_GCF_007035645.1,116,27,5,4,6,0.23275862068965517,1.2645665436972582,s__Enterobacter_asburiae_B
s__Vibrio_splendidus--GB_GCA_024347615.1,107,48,3,4,3,0.4485981308411215,0.8105998508472945,s__Vibrio_splendidus
s__Thomasclavelia_ramosa--RS_GCF_014131695.1,111,87,4,3,3,0.7837837837837838,0.6754590352026377,s__Thomasclavelia_ramosa
s__Mycoplasmopsis_bovis--RS_GCF_000183385.1,222,90,4,7,1,0.40540540540540543,1.7535388803104088,s__Mycoplasmopsis_bovis
s__Rhizobium_ruizarguesonis--RS_GCF_012349115.1,25,8,2,1,1,0.32,0.543564443196711,s__Rhizobium_ruizarguesonis
s__Prevotella_copri_A--RS_GCF_002224675.1,110,92,5,3,1,0.8363636363636363,0.8348240422937284,s__Prevotella_copri_A
s__Klebsiella_michiganensis--RS_GCF_002925905.1,399,50,12,5,6,0.12531328320802004,2.4395446239149754,s__Klebsiella_michiganensis
s__Lactobacillus_jensenii--RS_GCF_001436455.1,68,59,2,1,2,0.8676470588235294,0.3366790555401262,s__Lactobacillus_jensenii
s__Enterococcus_B_faecium--RS_GCF_001544255.1,2533,339,14,16,11,0.13383339913146466,2.3198247183720206,s__Enterococcus_B_faecium
s__Helicobacter_pylori--RS_GCF_900478295.1,786,12,2,1,0,0.015267175572519083,1.2806721295165588,s__Helicobacter_pylori
s__Sphingomonas_koreensis--RS_GCF_002797435.1,72,72,3,0,0,1.0,1.0299180489408406,s__Sphingomonas_koreensis
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,136,34,7,0,4,0.25,1.6523455612543503,s__Enterobacter_cloacae_M
s__Chlamydophila_psittaci--RS_GCF_000204255.1,64,0,0,0,0,0.0,0.0,s__Chlamydophila_psittaci
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,165,86,9,5,3,0.5212121212121212,2.415240526831442,s__Bifidobacterium_adolescentis
s__Akkermansia_sp004167605--RS_GCF_004167605.1,73,70,4,3,2,0.958904109589041,0.323169077501042,s__Akkermansia_sp004167605
s__Burkholderia_ambifaria--RS_GCF_000203915.1,88,0,0,0,0,0.0,0.0,s__Burkholderia_ambifaria
s__Agathobacter_faecis--RS_GCF_001406815.1,63,35,9,6,3,0.5555555555555556,2.577769619536069,s__Agathobacter_faecis
s__Xanthomonas_campestris--RS_GCF_000007145.1,128,11,5,3,3,0.0859375,2.2221915754980217,s__Xanthomonas_campestris
s__Haemophilus_influenzae_E--RS_GCF_019703545.1,102,6,0,0,1,0.058823529411764705,-1.4428232973175175e-12,s__Haemophilus_influenzae_E
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,81,17,6,5,5,0.20987654320987653,2.20510990006377,s__Corynebacterium_glutamicum
s__Stenotrophomonas_maltophilia_F--RS_GCF_000284595.1,12,4,2,1,1,0.3333333333333333,1.499999999995672,s__Stenotrophomonas_maltophilia_F
s__Streptococcus_agalactiae--RS_GCF_000186445.1,1487,15,4,3,4,0.010087424344317418,1.369974075267287,s__Streptococcus_agalactiae
s__Leptospira_borgpetersenii--RS_GCF_003046425.1,152,4,0,0,0,0.02631578947368421,-1.4428232973175175e-12,s__Leptospira_borgpetersenii
s__Flavobacterium_psychrophilum--RS_GCF_002217405.1,250,12,1,1,1,0.048,0.41381685030074833,s__Flavobacterium_psychrophilum
s__Agrobacterium_fabacearum--RS_GCF_009649785.1,186,9,2,2,1,0.04838709677419355,0.9864267287265145,s__Agrobacterium_fabacearum
s__Treponema_pallidum--RS_GCF_000410535.2,95,1,0,0,0,0.010526315789473684,-1.4428232973175175e-12,s__Treponema_pallidum
s__Neisseria_gonorrhoeae--RS_GCF_003315235.1,954,71,1,1,3,0.07442348008385745,0.10679203237295651,s__Neisseria_gonorrhoeae
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,232,20,10,6,3,0.08620689655172414,3.039353872151331,s__Bacillus_A_thuringiensis_S
s__Escherichia_marmotae--RS_GCF_002900365.1,100,20,4,4,2,0.2,2.0086949695556284,s__Escherichia_marmotae
s__Pseudomonas_E_syringae_M--RS_GCF_009176725.1,126,54,0,1,1,0.42857142857142855,-1.4428232973175175e-12,s__Pseudomonas_E_syringae_M
s__Vibrio_cyclitrophicus--GB_GCA_024347435.1,90,54,2,2,2,0.6,0.265575180986237,s__Vibrio_cyclitrophicus
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,85,35,9,6,5,0.4117647058823529,1.9095505346856547,s__Limosilactobacillus_reuteri_E
s__Actinobacillus_lignieresii--RS_GCF_900444945.1,70,0,0,0,0,0.0,0.0,s__Actinobacillus_lignieresii
s__Streptococcus_mutans--RS_GCF_006739205.1,261,7,3,3,2,0.02681992337164751,1.842370993171338,s__Streptococcus_mutans
s__Xanthomonas_oryzae--RS_GCF_004136375.1,396,18,5,3,5,0.045454545454545456,2.1234786725612302,s__Xanthomonas_oryzae
s__Lactobacillus_iners--RS_GCF_000160875.1,141,119,2,3,1,0.8439716312056738,0.45564619680222235,s__Lactobacillus_iners
s__Bacillus_pumilus--RS_GCF_900186955.1,175,80,2,1,2,0.45714285714285713,0.38241057254314603,s__Bacillus_pumilus
s__Akkermansia_muciniphila--RS_GCF_000020225.1,247,144,14,13,6,0.582995951417004,2.4761098372354904,s__Akkermansia_muciniphila
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,319,20,3,1,2,0.06269592476489028,1.0219280948815916,s__Pseudomonas_E_avellanae
s__Rhizobium_laguerreae--RS_GCF_002008165.1,175,31,3,2,1,0.17714285714285713,1.1359768596272117,s__Rhizobium_laguerreae
s__Vibrio_lentus--RS_GCF_014878155.1,99,88,0,0,0,0.8888888888888888,-1.4428232973175175e-12,s__Vibrio_lentus
