species_id	biome_id	genome_count	total_genes	core_genes	soft_core_genes	shell_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000001973	human-gut	6	1532	1101	0	431	0	0.0	0.7186684073107049
MGYG000001919	human-gut	123	4911	8	591	1517	2795	0.5691305233150071	0.0016289961311341885
MGYG000001984	human-gut	3	1711	1339	0	372	0	0.0	0.7825832846288721
MGYG000001930	human-gut	25	1940	388	278	715	559	0.2881443298969072	0.2
MGYG000001963	human-gut	119	6815	5	126	2562	4122	0.6048422597212032	0.0007336757153338225
MGYG000001996	human-gut	3	1836	1540	0	296	0	0.0	0.8387799564270153
MGYG000001941	human-gut	7	972	547	0	357	68	0.06995884773662552	0.5627572016460906
MGYG000001974	human-gut	3	1372	1210	0	162	0	0.0	0.8819241982507289
MGYG000001985	human-gut	40	2869	59	578	1144	1088	0.3792262112234228	0.02056465667479958
MGYG000001964	human-gut	5	3333	1884	0	1449	0	0.0	0.5652565256525652
MGYG000001998	human-gut	8	3750	965	0	1917	868	0.23146666666666665	0.25733333333333336
MGYG000001910	human-gut	5	3077	1550	0	1527	0	0.0	0.5037374065648359
MGYG000001942	human-gut	3	1699	1025	0	674	0	0.0	0.6032960565038258
MGYG000001921	human-gut	6	2478	703	0	1775	0	0.0	0.28369652945924134
MGYG000001986	human-gut	4	1810	1422	0	388	0	0.0	0.7856353591160221
MGYG000001932	human-gut	8	1952	560	0	1305	87	0.04456967213114754	0.28688524590163933
MGYG000001965	human-gut	10	2820	554	0	2216	50	0.01773049645390071	0.19645390070921986
MGYG000001911	human-gut	5	2894	1007	0	1887	0	0.0	0.3479612992398065
MGYG000001922	human-gut	4	1339	971	0	368	0	0.0	0.7251680358476476
MGYG000001955	human-gut	12	3334	565	0	2483	286	0.08578284343131373	0.16946610677864427
MGYG000001987	human-gut	28	3710	201	325	2069	1115	0.3005390835579515	0.05417789757412399
MGYG000001901	human-gut	89	1886	15	375	857	639	0.3388123011664899	0.007953340402969246
MGYG000001933	human-gut	23	3578	1	47	2509	1021	0.28535494689770824	0.00027948574622694243
MGYG000001966	human-gut	4	934	745	0	189	0	0.0	0.797644539614561
MGYG000001912	human-gut	3	1792	1507	0	285	0	0.0	0.8409598214285714
MGYG000001945	human-gut	3	818	677	0	141	0	0.0	0.8276283618581907
MGYG000001923	human-gut	4	2292	832	0	1460	0	0.0	0.36300174520069806
MGYG000001956	human-gut	4	1732	1367	0	365	0	0.0	0.7892609699769053
MGYG000001988	human-gut	8	3975	1860	0	1918	197	0.04955974842767295	0.4679245283018868
MGYG000001934	human-gut	4	1979	1548	0	431	0	0.0	0.7822132390096008
MGYG000001967	human-gut	3	1446	800	0	646	0	0.0	0.5532503457814661
MGYG000001913	human-gut	19	2712	275	0	1786	651	0.24004424778761063	0.10140117994100295
MGYG000001978	human-gut	5	1372	530	0	842	0	0.0	0.38629737609329445
MGYG000001924	human-gut	3	1847	1403	0	444	0	0.0	0.7596101786681104
MGYG000001957	human-gut	3	1542	1413	0	129	0	0.0	0.9163424124513618
MGYG000001989	human-gut	3	1479	1346	0	133	0	0.0	0.9100743745774171
MGYG000001914	human-gut	4	1714	869	0	845	0	0.0	0.5070011668611435
MGYG000001947	human-gut	4	2224	1770	0	454	0	0.0	0.795863309352518
MGYG000001925	human-gut	3	2870	2620	0	250	0	0.0	0.9128919860627178
MGYG000001991	human-gut	4	1613	929	0	684	0	0.0	0.5759454432734036
MGYG000001936	human-gut	7	2023	712	0	1091	220	0.10874938210578348	0.351952545724172
MGYG000001948	human-gut	29	3651	427	539	1518	1167	0.3196384552177486	0.11695425910709395
MGYG000001980	human-gut	5	1680	1043	0	637	0	0.0	0.6208333333333333
MGYG000001926	human-gut	9	1283	367	0	912	4	0.003117692907248636	0.2860483242400624
MGYG000001959	human-gut	64	4806	0	90	1219	3497	0.727632126508531	0.0
MGYG000001992	human-gut	5	2262	672	0	1590	0	0.0	0.29708222811671087
MGYG000001905	human-gut	8	1710	560	0	969	181	0.10584795321637427	0.32748538011695905
MGYG000001937	human-gut	32	3081	62	173	1737	1109	0.3599480688088283	0.020123336579032782
MGYG000000605	human-gut	5	1879	507	0	1372	0	0.0	0.26982437466737624
MGYG000000638	human-gut	4	2224	1688	0	536	0	0.0	0.7589928057553957
MGYG000000670	human-gut	17	3679	458	0	2542	679	0.1845610220168524	0.12449035063876053
MGYG000000616	human-gut	3	1546	1259	0	287	0	0.0	0.814359637774903
MGYG000000649	human-gut	5	1799	608	0	1191	0	0.0	0.3379655364091162
MGYG000000692	human-gut	66	4048	68	597	1507	1876	0.4634387351778656	0.016798418972332016
MGYG000000606	human-gut	687	12401	4	711	2329	9357	0.754535924522216	0.00032255463269091205
MGYG000000639	human-gut	40	4389	60	685	1883	1761	0.40123034859876966	0.01367053998632946
MGYG000000671	human-gut	54	3581	86	355	1547	1593	0.4448478078748953	0.024015638089919016
MGYG000000617	human-gut	3	1435	632	0	803	0	0.0	0.44041811846689893
MGYG000000682	human-gut	5	2008	689	0	1319	0	0.0	0.3431274900398406
MGYG000000640	human-gut	3	1592	676	0	916	0	0.0	0.42462311557788945
MGYG000000672	human-gut	209	6001	62	551	1587	3801	0.6333944342609565	0.010331611398100316
MGYG000000651	human-gut	215	8260	10	540	1724	5986	0.7246973365617433	0.0012106537530266344
MGYG000000683	human-gut	21	2448	620	553	867	408	0.16666666666666666	0.25326797385620914
MGYG000000641	human-gut	6	2125	353	0	1772	0	0.0	0.16611764705882354
MGYG000000673	human-gut	3	1775	1405	0	370	0	0.0	0.7915492957746478
MGYG000000619	human-gut	13	2215	1116	0	1014	85	0.03837471783295711	0.5038374717832957
MGYG000000652	human-gut	57	7506	0	89	3096	4321	0.5756727950972556	0.0
MGYG000000631	human-gut	174	5596	0	127	2115	3354	0.5993566833452466	0.0
MGYG000000663	human-gut	11	1867	435	0	1414	18	0.0096411355115158	0.2329941081949652
MGYG000000695	human-gut	84	8364	8	274	2816	5266	0.6296030607364898	0.0009564801530368245
MGYG000000620	human-gut	3	2097	1351	0	746	0	0.0	0.6442536957558417
MGYG000000653	human-gut	210	4443	3	230	1935	2275	0.5120414134593743	0.0006752194463200541
MGYG000000664	human-gut	18	1941	424	0	1293	224	0.11540443070582174	0.21844410097887687
MGYG000000696	human-gut	64	7146	90	506	2063	4487	0.6279037223621606	0.012594458438287154
MGYG000000610	human-gut	6	1509	758	0	751	0	0.0	0.5023194168323393
MGYG000000643	human-gut	10	2282	577	0	1524	181	0.07931638913234006	0.2528483786152498
MGYG000000675	human-gut	5	6138	2024	0	4114	0	0.0	0.32974910394265233
MGYG000000654	human-gut	10	1967	164	0	1385	418	0.2125063548551093	0.08337569903406203
MGYG000000686	human-gut	9	1779	702	0	1056	21	0.011804384485666104	0.3946037099494098
MGYG000000600	human-gut	102	5778	86	492	1709	3491	0.6041883004499827	0.014884042921426099
MGYG000000633	human-gut	7	2603	906	0	1527	170	0.06530925854782943	0.34805993084902037
MGYG000000698	human-gut	3	1421	1183	0	238	0	0.0	0.8325123152709359
MGYG000000611	human-gut	15	2746	548	0	1491	707	0.2574654042243263	0.1995630007283321
MGYG000000644	human-gut	76	9381	4	176	3078	6123	0.65270227054685	0.0004263937746508901
MGYG000000622	human-gut	24	2985	90	220	1846	829	0.2777219430485762	0.03015075376884422
MGYG000000655	human-gut	22	4215	422	381	1555	1857	0.4405693950177936	0.10011862396204033
MGYG000000687	human-gut	4	2277	397	0	1880	0	0.0	0.1743522178304787
MGYG000000634	human-gut	5	2272	563	0	1709	0	0.0	0.24779929577464788
MGYG000000645	human-gut	3	1743	995	0	748	0	0.0	0.5708548479632817
MGYG000000623	human-gut	3	2502	1994	0	508	0	0.0	0.7969624300559552
MGYG000000602	human-gut	46	3089	59	319	1442	1269	0.4108125606992554	0.019100032372936226
MGYG000000667	human-gut	156	5053	43	448	1711	2851	0.5642192756778152	0.008509796160696616
MGYG000000646	human-gut	1214	12541	0	68	1790	10683	0.8518459452994179	0.0
MGYG000000678	human-gut	10	2341	695	0	1592	54	0.023067065356685176	0.29688167449807773
MGYG000000603	human-gut	10	1808	385	0	1216	207	0.11449115044247787	0.2129424778761062
MGYG000000636	human-gut	19	2971	254	0	2128	589	0.1982497475597442	0.0854930999663413
MGYG000000668	human-gut	53	4996	14	103	2253	2626	0.5256204963971177	0.0028022417934347476
MGYG000000614	human-gut	8	1873	722	0	1003	148	0.07901761879337961	0.38547784303256805
MGYG000000647	human-gut	19	2745	285	0	1969	491	0.17887067395264117	0.10382513661202186
MGYG000000679	human-gut	15	1167	361	0	638	168	0.14395886889460155	0.3093401885175664
MGYG000000690	human-gut	49	4793	222	688	1659	2224	0.46401001460463176	0.04631754642186522
MGYG000000604	human-gut	24	4524	263	343	2710	1208	0.26702033598585323	0.05813439434129089
MGYG000000669	human-gut	228	6103	26	807	1326	3944	0.6462395543175488	0.004260199901687694
MGYG000000615	human-gut	19	2084	264	0	1363	457	0.21928982725527832	0.12667946257197696
MGYG000000648	human-gut	28	2531	66	197	1661	607	0.23982615566969578	0.026076649545634135
MGYG000000659	human-gut	20	2219	139	211	1461	408	0.18386660657954032	0.0626408292023434
MGYG000002006	human-gut	4	3057	1230	0	1827	0	0.0	0.4023552502453386
MGYG000002039	human-gut	4	1723	745	0	978	0	0.0	0.4323853743470691
MGYG000002073	human-gut	7	1714	380	0	1285	49	0.028588098016336057	0.22170361726954493
MGYG000002018	human-gut	6	2166	593	0	1573	0	0.0	0.2737765466297322
MGYG000002061	human-gut	13	2229	155	0	1960	114	0.05114401076716016	0.06953790937640197
MGYG000002097	human-gut	11	3238	705	0	2265	268	0.08276714021000618	0.21772699197035206
MGYG000002007	human-gut	80	4194	1	339	1801	2053	0.4895088221268479	0.0002384358607534573
MGYG000002040	human-gut	232	7063	1	40	1954	5068	0.7175421209117938	0.00014158289678606824
MGYG000002074	human-gut	10	2286	491	0	1472	323	0.14129483814523183	0.21478565179352582
MGYG000002019	human-gut	18	3216	150	0	2180	886	0.27549751243781095	0.04664179104477612
MGYG000002051	human-gut	3	3236	2013	0	1223	0	0.0	0.6220642768850433
MGYG000002062	human-gut	6	1771	603	0	1168	0	0.0	0.3404856013551666
MGYG000002008	human-gut	4	2047	1598	0	449	0	0.0	0.7806546165119688
MGYG000002041	human-gut	6	2201	589	0	1612	0	0.0	0.2676056338028169
MGYG000002020	human-gut	13	2335	548	0	1737	50	0.021413276231263382	0.23468950749464668
MGYG000002087	human-gut	28	3242	91	186	1744	1221	0.3766193707587909	0.028069093152375078
MGYG000002031	human-gut	10	2304	922	0	1168	214	0.09288194444444445	0.4001736111111111
MGYG000002099	human-gut	11	3160	536	0	2200	424	0.1341772151898734	0.16962025316455695
MGYG000002009	human-gut	4	1338	791	0	547	0	0.0	0.5911808669656203
MGYG000002042	human-gut	3	1908	1503	0	405	0	0.0	0.7877358490566038
MGYG000002076	human-gut	6	1924	588	0	1336	0	0.0	0.30561330561330563
MGYG000002021	human-gut	386	4247	5	292	1429	2521	0.5935954791617613	0.0011773016246762421
MGYG000002032	human-gut	4	1938	1413	0	525	0	0.0	0.7291021671826625
MGYG000002010	human-gut	3	1107	540	0	567	0	0.0	0.4878048780487805
MGYG000002022	human-gut	3	2076	1868	0	208	0	0.0	0.8998073217726397
MGYG000002033	human-gut	6	3781	1246	0	2535	0	0.0	0.329542449087543
MGYG000002065	human-gut	4	2073	468	0	1605	0	0.0	0.22575976845151954
MGYG000002044	human-gut	6	1290	459	0	831	0	0.0	0.3558139534883721
MGYG000002091	human-gut	4	1628	798	0	830	0	0.0	0.49017199017199015
MGYG000002013	human-gut	9	2355	396	0	1727	232	0.09851380042462846	0.1681528662420382
MGYG000002079	human-gut	20	1830	649	536	620	25	0.01366120218579235	0.3546448087431694
MGYG000002024	human-gut	12	2316	506	0	1571	239	0.10319516407599309	0.21848013816925735
MGYG000002056	human-gut	39	4649	35	166	2888	1560	0.3355560335556034	0.007528500752850075
MGYG000002001	human-gut	217	4650	19	541	1422	2668	0.573763440860215	0.0040860215053763445
MGYG000002014	human-gut	4	2340	1560	0	780	0	0.0	0.6666666666666666
MGYG000002080	human-gut	28	4100	52	107	2665	1276	0.31121951219512195	0.012682926829268294
MGYG000002057	human-gut	629	27380	0	106	2046	25228	0.9214024835646457	0.0
MGYG000002093	human-gut	5	2083	767	0	1316	0	0.0	0.36821891502640425
MGYG000002002	human-gut	26	2100	97	241	932	830	0.3952380952380952	0.04619047619047619
MGYG000002069	human-gut	4	1980	475	0	1505	0	0.0	0.2398989898989899
MGYG000002015	human-gut	3	1412	693	0	719	0	0.0	0.49079320113314445
MGYG000002047	human-gut	32	2346	86	200	1606	454	0.19352088661551578	0.03665814151747655
MGYG000002026	human-gut	5	2158	1219	0	939	0	0.0	0.5648748841519926
MGYG000002004	human-gut	3	1470	1060	0	410	0	0.0	0.7210884353741497
MGYG000002016	human-gut	32	3102	228	400	1629	845	0.27240490006447454	0.0735009671179884
MGYG000002083	human-gut	22	3121	10	69	1913	1129	0.3617430310797821	0.0032041012495994873
MGYG000002059	human-gut	11	2401	283	0	1795	323	0.13452728029987504	0.11786755518533944
MGYG000002005	human-gut	3	1559	740	0	819	0	0.0	0.4746632456703015
MGYG000002038	human-gut	3	2563	1691	0	872	0	0.0	0.6597737026921576
MGYG000002072	human-gut	204	5991	9	311	2154	3517	0.5870472375229511	0.0015022533800701052
MGYG000002049	human-gut	4	2135	967	0	1168	0	0.0	0.4529274004683841
MGYG000002028	human-gut	3	1892	1637	0	255	0	0.0	0.8652219873150105
MGYG000002060	human-gut	396	7864	0	195	1745	5924	0.7533062054933876	0.0
MGYG000003682	human-gut	650	16646	1	202	2684	13759	0.8265649405262525	6.007449237053947e-05
MGYG000003628	human-gut	3	1367	1068	0	299	0	0.0	0.7812728602779809
MGYG000003660	human-gut	9	887	481	0	400	6	0.006764374295377677	0.5422773393461104
MGYG000003683	human-gut	1124	10126	0	31	1744	8351	0.824708670748568	0.0
MGYG000003661	human-gut	5	3131	2028	0	1103	0	0.0	0.64771638454168
MGYG000003694	human-gut	2899	56464	0	540	2420	53504	0.9475772173420233	0.0
MGYG000003684	human-gut	86	12623	28	1072	5171	6352	0.5032084290580686	0.0022181731759486653
MGYG000003662	human-gut	3	1695	315	0	1380	0	0.0	0.18584070796460178
MGYG000003695	human-gut	248	12768	0	144	2377	10247	0.8025532581453634	0.0
MGYG000003652	human-gut	23	1266	189	137	647	293	0.23143759873617695	0.14928909952606634
MGYG000003696	human-gut	17	2640	135	0	2056	449	0.17007575757575757	0.05113636363636364
MGYG000003675	human-gut	10	2681	646	0	1884	151	0.05632226781051846	0.24095486758672138
MGYG000003621	human-gut	3	1787	1332	0	455	0	0.0	0.7453833240067151
MGYG000003653	human-gut	3	2163	1893	0	270	0	0.0	0.8751733703190014
MGYG000003686	human-gut	2064	21955	1	184	1806	19964	0.909314506946026	4.5547711227510815e-05
MGYG000003654	human-gut	3	1853	936	0	917	0	0.0	0.5051268213707502
MGYG000003655	human-gut	9	2562	183	0	2019	360	0.1405152224824356	0.07142857142857142
MGYG000003688	human-gut	7	2354	1190	0	858	306	0.12999150382327954	0.5055225148683092
MGYG000003699	human-gut	17	3595	371	0	2231	993	0.27621696801112655	0.10319888734353268
MGYG000003678	human-gut	3	2192	1895	0	297	0	0.0	0.864507299270073
MGYG000003656	human-gut	957	10941	0	0	2102	8839	0.8078786216981995	0.0
MGYG000003689	human-gut	17	3098	501	0	1941	656	0.2117495158166559	0.1617172369270497
MGYG000003602	human-gut	3	1023	677	0	346	0	0.0	0.6617790811339198
MGYG000003679	human-gut	3	2229	1959	0	270	0	0.0	0.8788694481830417
MGYG000003657	human-gut	3	1532	1377	0	155	0	0.0	0.8988250652741514
MGYG000003690	human-gut	27	2746	11	39	1944	752	0.2738528769118718	0.004005826656955572
MGYG000003668	human-gut	4	2312	1718	0	594	0	0.0	0.7430795847750865
MGYG000003680	human-gut	18	2800	603	0	1317	880	0.3142857142857143	0.21535714285714286
MGYG000003658	human-gut	25	3075	131	289	1954	701	0.22796747967479675	0.04260162601626016
MGYG000003691	human-gut	22	2513	478	653	843	539	0.21448467966573817	0.1902109033028253
MGYG000003681	human-gut	1843	41796	1	354	2605	38836	0.9291798258206527	2.3925734520049766e-05
MGYG000003692	human-gut	44	3889	125	443	1555	1766	0.4541013113911031	0.032141938801748524
MGYG000003949	human-gut	136	6407	23	442	2162	3780	0.5899797096925238	0.0035898236304042455
MGYG000003981	human-gut	4	1407	1105	0	302	0	0.0	0.7853589196872779
MGYG000003928	human-gut	104	4302	0	64	1902	2336	0.5430032543003255	0.0
MGYG000003960	human-gut	119	2518	41	418	741	1318	0.5234312946783162	0.016282764098490866
MGYG000003993	human-gut	11	1732	600	0	1079	53	0.030600461893764433	0.3464203233256351
MGYG000003939	human-gut	3	1229	603	0	626	0	0.0	0.4906427990235964
MGYG000003929	human-gut	5	3534	2253	0	1281	0	0.0	0.6375212224108658
MGYG000003961	human-gut	72	11456	36	309	1798	9313	0.8129364525139665	0.0031424581005586594
MGYG000003908	human-gut	5	3163	1972	0	1191	0	0.0	0.6234587417009169
MGYG000003940	human-gut	395	6861	1	171	1260	5429	0.7912840693776417	0.00014575134819997084
MGYG000003972	human-gut	38	2191	18	121	1697	355	0.16202647193062528	0.008215426745778184
MGYG000003919	human-gut	3	2300	1086	0	1214	0	0.0	0.4721739130434783
MGYG000003941	human-gut	3	1773	1084	0	689	0	0.0	0.6113931190073322
MGYG000003973	human-gut	99	3241	0	68	1805	1368	0.4220919469299599	0.0
MGYG000003952	human-gut	4	2325	1540	0	785	0	0.0	0.6623655913978495
MGYG000003984	human-gut	11	1967	603	0	1292	72	0.03660396542958821	0.30655821047280124
MGYG000003963	human-gut	30	3063	107	260	1943	753	0.24583741429970618	0.03493307215148547
MGYG000003996	human-gut	4	1930	610	0	1320	0	0.0	0.3160621761658031
MGYG000003942	human-gut	54	5488	134	353	1359	3642	0.6636297376093294	0.024416909620991252
MGYG000003974	human-gut	16	2153	341	0	1231	581	0.2698560148629819	0.1583836507199257
MGYG000003932	human-gut	73	2992	30	300	1543	1119	0.3739973262032086	0.010026737967914439
MGYG000003964	human-gut	4	1544	862	0	682	0	0.0	0.5582901554404145
MGYG000003997	human-gut	3	1473	1108	0	365	0	0.0	0.7522063815342838
MGYG000003943	human-gut	12	2429	247	0	1834	348	0.1432688349114862	0.10168793742280774
MGYG000003975	human-gut	3	2144	1313	0	831	0	0.0	0.6124067164179104
MGYG000003922	human-gut	3	3313	2724	0	589	0	0.0	0.8222155146392998
MGYG000003986	human-gut	4	2013	665	0	1348	0	0.0	0.3303527074018877
MGYG000003933	human-gut	13	3793	494	0	2666	633	0.1668863696282626	0.13023991563406276
MGYG000003965	human-gut	6	2308	428	0	1880	0	0.0	0.1854419410745234
MGYG000003998	human-gut	40	2735	57	402	1073	1203	0.43985374771480806	0.020840950639853747
MGYG000003912	human-gut	60	4399	181	678	1535	2005	0.45578540577403953	0.041145714935212546
MGYG000003944	human-gut	7	1696	651	0	684	361	0.21285377358490565	0.38384433962264153
MGYG000003923	human-gut	51	3534	40	255	1747	1492	0.422184493491794	0.011318619128466326
MGYG000003987	human-gut	277	7471	2	763	2048	4658	0.6234774461250168	0.0002677017802168384
MGYG000003966	human-gut	61	2984	7	147	1474	1356	0.4544235924932976	0.0023458445040214475
MGYG000003945	human-gut	3	1960	1178	0	782	0	0.0	0.6010204081632653
MGYG000003924	human-gut	3	1604	766	0	838	0	0.0	0.4775561097256858
MGYG000003956	human-gut	4	1599	1095	0	504	0	0.0	0.6848030018761726
MGYG000003902	human-gut	4	2133	1454	0	679	0	0.0	0.6816690107829348
MGYG000003935	human-gut	3	1248	936	0	312	0	0.0	0.75
MGYG000003967	human-gut	50	2993	23	197	1497	1276	0.42632809889742734	0.007684597393919144
MGYG000003978	human-gut	5	2304	1404	0	900	0	0.0	0.609375
MGYG000003925	human-gut	22	3633	169	388	2302	774	0.21304706853839803	0.04651802917698872
MGYG000003990	human-gut	339	6346	0	44	2004	4298	0.6772770248975732	0.0
MGYG000003979	human-gut	23	2150	270	365	1102	413	0.19209302325581395	0.12558139534883722
MGYG000003926	human-gut	4	1839	986	0	853	0	0.0	0.5361609570418706
MGYG000003958	human-gut	90	3742	15	389	1747	1591	0.4251737039016569	0.004008551576696953
MGYG000003991	human-gut	6	1612	935	0	677	0	0.0	0.5800248138957816
MGYG000003937	human-gut	3324	23063	1	233	1963	20866	0.9047391926462299	4.3359493561115205e-05
MGYG000003916	human-gut	26	2500	283	438	1400	379	0.1516	0.1132
MGYG000003980	human-gut	4	2451	609	0	1842	0	0.0	0.2484700122399021
MGYG000003959	human-gut	7	2395	1136	0	901	358	0.14947807933194154	0.474321503131524
MGYG000001569	human-gut	13	2600	387	0	1784	429	0.165	0.14884615384615385
MGYG000001527	human-gut	9	4411	286	0	2730	1395	0.3162548175017003	0.06483790523690773
MGYG000001559	human-gut	43	1915	32	241	1333	309	0.16135770234986946	0.01671018276762402
MGYG000001591	human-gut	5	4616	3004	0	1612	0	0.0	0.6507798960138648
MGYG000001528	human-gut	3	3276	2281	0	995	0	0.0	0.6962759462759462
MGYG000001539	human-gut	12	4169	149	0	3684	336	0.08059486687455025	0.03573998560805949
MGYG000001561	human-gut	14	3176	318	0	2105	753	0.23709068010075568	0.10012594458438287
MGYG000001593	human-gut	3	3287	1289	0	1998	0	0.0	0.3921508974749011
MGYG000001551	human-gut	53	5444	118	767	2534	2025	0.3719691403379868	0.021675238795003673
MGYG000001562	human-gut	14	4282	705	0	2196	1381	0.3225128444652032	0.16464269033162074
MGYG000001531	human-gut	316	11709	0	194	2584	8931	0.7627466051755061	0.0
MGYG000001595	human-gut	4	1903	1195	0	708	0	0.0	0.627955859169732
MGYG000001574	human-gut	7	2536	199	0	1639	698	0.2752365930599369	0.07847003154574132
MGYG000001521	human-gut	33	2540	33	93	1473	941	0.3704724409448819	0.012992125984251968
MGYG000001564	human-gut	17	4993	434	0	3741	818	0.16382936110554777	0.08692169036651312
MGYG000001522	human-gut	54	3156	137	481	1597	941	0.29816223067173636	0.04340937896070976
MGYG000001501	human-gut	3	3591	3590	0	1	0	0.0	0.9997215260373155
MGYG000001565	human-gut	307	6183	1	237	1668	4277	0.6917354035257965	0.00016173378618793466
MGYG000001597	human-gut	5	2438	389	0	2049	0	0.0	0.15955701394585725
MGYG000001512	human-gut	11	3977	1074	0	2214	689	0.17324616545134525	0.27005280362081974
MGYG000001576	human-gut	6	3758	1248	0	2510	0	0.0	0.3320915380521554
MGYG000001502	human-gut	14	4166	675	0	1969	1522	0.3653384541526644	0.16202592414786365
MGYG000001566	human-gut	3	2117	739	0	1378	0	0.0	0.3490788852149268
MGYG000001598	human-gut	5	2409	843	0	1566	0	0.0	0.34993773349937735
MGYG000001545	human-gut	3	1601	877	0	724	0	0.0	0.5477826358525921
MGYG000001577	human-gut	20	3201	180	322	1978	721	0.22524211184005	0.056232427366447985
MGYG000001556	human-gut	51	3699	83	458	1895	1263	0.34144363341443634	0.022438496891051634
MGYG000001525	human-gut	3	4681	4018	0	663	0	0.0	0.8583635975218971
MGYG000001589	human-gut	30	2954	15	81	2216	642	0.2173324306025728	0.0050778605280974946
MGYG000001547	human-gut	10	4586	2537	0	1712	337	0.07348451809856084	0.5532054077627562
MGYG000001316	human-gut	120	4424	0	19	2157	2248	0.5081374321880651	0.0
MGYG000001349	human-gut	790	6446	0	124	1851	4471	0.6936084393422277	0.0
MGYG000001327	human-gut	64	6493	2	220	3335	2936	0.4521792699830587	0.00030802402587401816
MGYG000001392	human-gut	20	3274	999	461	803	1011	0.30879657910812464	0.30513133781307267
MGYG000001382	human-gut	54	4017	7	142	2089	1779	0.44286781179985063	0.0017425939756036844
MGYG000001328	human-gut	33	5882	305	367	3176	2034	0.3458007480448827	0.0518531111866712
MGYG000001393	human-gut	15	6141	1161	0	3322	1658	0.26998860120501544	0.189057156814851
MGYG000001372	human-gut	120	8022	114	1051	1756	5101	0.6358763400648217	0.014210919970082274
MGYG000001383	human-gut	4	1200	548	0	652	0	0.0	0.45666666666666667
MGYG000001329	human-gut	3	2315	2223	0	92	0	0.0	0.9602591792656587
MGYG000001362	human-gut	57	4180	79	422	1707	1972	0.4717703349282297	0.01889952153110048
MGYG000001308	human-gut	69	2801	24	305	1455	1017	0.36308461263834346	0.008568368439842914
MGYG000001341	human-gut	5	2468	944	0	1524	0	0.0	0.3824959481361426
MGYG000001319	human-gut	954	27804	0	656	1573	25575	0.919831678895123	0.0
MGYG000001352	human-gut	17	6029	1185	0	3294	1550	0.2570907281472881	0.19655000829324928
MGYG000001384	human-gut	5	4843	4682	0	161	0	0.0	0.9667561428866405
MGYG000001330	human-gut	3	1691	1444	0	247	0	0.0	0.8539325842696629
MGYG000001309	human-gut	17	6134	574	0	3788	1772	0.28888164329964133	0.09357678513205087
MGYG000001342	human-gut	27	3023	151	421	1572	879	0.2907707575256368	0.049950380416804496
MGYG000001374	human-gut	1639	18668	0	137	2002	16529	0.8854188986500964	0.0
MGYG000001320	human-gut	7	2922	1357	0	1132	433	0.14818617385352498	0.4644079397672827
MGYG000001385	human-gut	172	9131	3	461	1757	6910	0.7567626765962107	0.0003285510896944475
MGYG000001331	human-gut	15	2639	200	0	2110	329	0.1246684350132626	0.07578628268283441
MGYG000001364	human-gut	158	16481	7	243	2808	13423	0.8144530064923245	0.0004247315090103756
MGYG000001310	human-gut	485	14373	0	66	1928	12379	0.8612676546302094	0.0
MGYG000001375	human-gut	69	3194	0	18	2018	1158	0.3625547902316844	0.0
MGYG000001321	human-gut	340	5967	0	113	2140	3714	0.6224233283056813	0.0
MGYG000001354	human-gut	139	4303	4	176	2072	2051	0.47664420171973043	0.0009295840111550081
MGYG000001386	human-gut	168	14179	0	600	4445	9134	0.6441921150997955	0.0
MGYG000001365	human-gut	1431	10385	0	3	2183	8199	0.7895040924410207	0.0
MGYG000001397	human-gut	350	5720	1	277	1637	3805	0.6652097902097902	0.00017482517482517483
MGYG000001311	human-gut	12	8118	1461	0	5598	1059	0.1304508499630451	0.17997043606799704
MGYG000001344	human-gut	9	3677	1847	0	1405	425	0.11558335599673647	0.5023116671199347
MGYG000001387	human-gut	71	4278	10	200	1615	2453	0.5733987844787284	0.0023375409069658717
MGYG000001302.1	human-gut	5043	23007	1	361	1758	20887	0.9078541313513279	4.346503238144912e-05
MGYG000001300	human-gut	1446	19907	2	144	2014	17747	0.8914954538604511	0.00010046717235143416
MGYG000001334	human-gut	355	4177	0	0	1833	2344	0.5611683026095283	0.0
MGYG000001366	human-gut	3	2022	1573	0	449	0	0.0	0.777942631058358
MGYG000001398	human-gut	96	5450	0	248	2445	2757	0.5058715596330275	0.0
MGYG000001345	human-gut	408	37166	2	617	5193	31354	0.8436205133724372	5.3812624441694024e-05
MGYG000001377	human-gut	4	4341	2657	0	1684	0	0.0	0.6120709513936881
MGYG000001323	human-gut	6	5074	3175	0	1899	0	0.0	0.6257390618841151
MGYG000001356	human-gut	40	7063	32	352	2464	4215	0.5967719099532777	0.004530652697154184
MGYG000001301	human-gut	24	2690	76	222	1285	1107	0.41152416356877325	0.02825278810408922
MGYG000001367	human-gut	169	16390	3	726	3504	12157	0.7417327638804149	0.0001830384380719951
MGYG000001399	human-gut	76	4830	143	1022	1841	1824	0.37763975155279506	0.02960662525879917
MGYG000001313	human-gut	433	27070	0	253	2832	23985	0.8860362024381234	0.0
MGYG000001346	human-gut	6001	82753	5	554	3093	79101	0.9558686694137977	6.042077024397907e-05
MGYG000001378	human-gut	1072	58618	1	507	5333	52777	0.9003548398102972	1.705960626428742e-05
MGYG000001324	human-gut	5	2768	1175	0	1593	0	0.0	0.4244942196531792
MGYG000001357	human-gut	3	1624	1365	0	259	0	0.0	0.8405172413793104
