strain_id	full_name	taxon_id	genome_name	genome_id	external_id	size	genes	contigs
GW822-FHT02H05	Environmental isolate GW822-FHT02H05	1271	GW822-FHT02H05.2	928	ENIGMA Data Repository	5460137	4841	1
GW822-FHT02H05	Environmental isolate GW822-FHT02H05	1271	GW822-FHT02H05.1	929	KBase	5377119	4840	96
GW822-FHT03B01	Environmental isolate GW822-FHT03B01 Unconfirmed Organism.	1272	GW822-FHT03B01.1	932	KBase	8417543	7847	107
GW822-FHT03B03	Environmental isolate GW822-FHT03B03 Unconfirmed Organism.	1653	GW822-FHT03B03.1	933	KBase	6178179	5421	128
GW822-FHT03B03	Environmental isolate GW822-FHT03B03 Unconfirmed Organism.	1653	GW822-FHT03B03.3	3741	ENIGMA Data Repository	6313825	5512	3
GW822-FHT03C01	Environmental isolate GW822-FHT03C01	1190	GW822-FHT03C01.2	937	ENIGMA Data Repository	6486311	5697	2
GW822-FHT03C01	Environmental isolate GW822-FHT03C01	1190	GW822-FHT03C01.1	938	KBase	6415629	5745	77
GW822-FHT03E04	Environmental isolate GW822-FHT03E04 Unconfirmed Organism: Environmental isolate GW822-FHT03E04.	21	GW822-FHT03E04.1	947	KBase	7083805	7726	4860
GW822-FHT03E04	Environmental isolate GW822-FHT03E04 Unconfirmed Organism: Environmental isolate GW822-FHT03E04.	21	GW822-FHT03E04.3	1284	ENIGMA Data Repository	8930220	7993	88
GW822-FHT04H01	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	1047	GW822-FHT04H01.1	970	KBase	5427410	5340	748
GW822-FHT04H01	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	1047	GW822-FHT04H01.3	1268	ENIGMA Data Repository	5862679	5539	54
GW822-FHT04H01	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	1047	GW822-FHT04H01.4	3744	ENIGMA Data Repository	5910636	5564	2
GW822-FHT04H01	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	1047	GW822-FHT04H01.5	3986	ENIGMA Data Repository	5867173	5531	41
GW822-FHT05A05	Environmental isolate GW822-FHT05A05	1203	GW822-FHT05A05.2	973	ENIGMA Data Repository	6587589	5969	3
GW822-FHT05A05	Environmental isolate GW822-FHT05A05	1203	GW822-FHT05A05.1	974	KBase	6462415	6020	799
GW822-FHT05A05	Environmental isolate GW822-FHT05A05	1203	GW822-FHT05A05.3	1241	ENIGMA Data Repository	6539123	5996	41
GW822-FHT05A08	Environmental isolate GW822-FHT05A08	194	GW822-FHT05A08.2	975	ENIGMA Data Repository	6826120	6039	1
GW822-FHT05A08	Environmental isolate GW822-FHT05A08	194	GW822-FHT05A08.1	976	KBase	6732793	6137	630
GW822-FHT05A11	Environmental isolate GW822-FHT05A11	1245	GW822-FHT05A11.1	977	KBase	5460201	5280	478
GW822-FHT05A11	Environmental isolate GW822-FHT05A11	1245	GW822-FHT05A11.3	3646	ENIGMA Data Repository	5506621	5251	54
GW822-FHT05B01	Environmental isolate GW822-FHT05B01	1203	GW822-FHT05B01.1	978	KBase	6484996	6025	580
GW822-FHT05B01	Environmental isolate GW822-FHT05B01	1203	GW822-FHT05B01.5	3647	ENIGMA Data Repository	6553730	6005	56
GW822-FHT05B01	Environmental isolate GW822-FHT05B01	1203	GW822-FHT05B01.4	3745	ENIGMA Data Repository	6591700	6031	3
GW822-FHT05C05	Environmental isolate GW822-FHT05C05	1190	GW822-FHT05C05.2	982	ENIGMA Data Repository	6406724	5502	12
GW822-FHT05C05	Environmental isolate GW822-FHT05C05	1190	GW822-FHT05C05.1	983	KBase	6208794	5631	773
GW822-FHT05C07	Environmental isolate GW822-FHT05C07	1271	GW822-FHT05C07.2	985	ENIGMA Data Repository	5460588	4839	1
GW822-FHT05C07	Environmental isolate GW822-FHT05C07	1271	GW822-FHT05C07.1	986	KBase	936361	1126	1227
GW822-FHT05C07	Environmental isolate GW822-FHT05C07	1271	GW822-FHT05C07.3	1282	ENIGMA Data Repository	5385652	4843	53
GW822-FHT05D05	Environmental isolate GW822-FHT05D05	1188	GW822-FHT05D05.2	988	ENIGMA Data Repository	6352410	5662	1
GW822-FHT05D05	Environmental isolate GW822-FHT05D05	1188	GW822-FHT05D05.1	989	KBase	6126219	5814	1042
GW822-FHT05E02	Environmental isolate GW822-FHT05E02	866	GW822-FHT05E02.2	993	ENIGMA Data Repository	3264008	3139	3
GW822-FHT05E02	Environmental isolate GW822-FHT05E02	866	GW822-FHT05E02.1	994	KBase	1457203	1607	1516
GW823-FHT01D03	Environmental isolate GW823-FHT01D03	194	GW823-FHT01D03.2	1015	ENIGMA Data Repository	6089217	5338	2
GW823-FHT01D03	Environmental isolate GW823-FHT01D03	194	GW823-FHT01D03.1	1016	KBase	1477012	1689	1906
GW823-FHT01D03	Environmental isolate GW823-FHT01D03	194	GW823-FHT01D03.3	1262	ENIGMA Data Repository	6023246	5358	57
GW823-FHT01E07	Environmental isolate GW823-FHT01E07 Unconfirmed Organism.	1179	GW823-FHT01E07.1	1020	KBase	5522078	5648	51
GW823-FHT01H08	Environmental isolate GW823-FHT01H08	1190	GW823-FHT01H08.2	1029	ENIGMA Data Repository	6132736	5341	1
GW823-FHT01H08	Environmental isolate GW823-FHT01H08	1190	GW823-FHT01H08.1	1030	KBase	5942831	5504	949
GW823-FHT01H08	Environmental isolate GW823-FHT01H08	1190	GW823-FHT01H08.3	3748	ENIGMA Data Repository	6133315	5441	1
GW823-FHT02C05	Environmental isolate GW823-FHT02C05	194	GW823-FHT02C05.1	1035	KBase	6927898	6322	216
GW823-FHT02C05	Environmental isolate GW823-FHT02C05	194	GW823-FHT02C05.3	4004	ENIGMA Data Repository	6940283	6292	15
GW823-FHT02E09	Environmental isolate GW823-FHT02E09 Unconfirmed Organism: Environmental isolate GW823-FHT02E09.	1069	GW823-FHT02E09.1	1042	KBase	1792663	2461	2208
GW823-FHT02E09	Environmental isolate GW823-FHT02E09 Unconfirmed Organism: Environmental isolate GW823-FHT02E09.	1069	GW823-FHT02E09.3	3672	ENIGMA Data Repository	5768081	5450	68
GW823-FHT02F05	Environmental isolate GW823-FHT02F05	3505	GW823-FHT02F05.1	4005	ENIGMA Data Repository	6268169	5605	55
GW823-FHT02G10	Environmental isolate GW823-FHT02G10 Unconfirmed Organism.	1204	GW823-FHT02G10.1	1049	KBase	4489625	4494	34
GW823-FHT04A11	Environmental isolate GW823-FHT04A11	328	GW823-FHT04A11.1	1065	KBase	5257844	4447	323
GW823-FHT04A11	Environmental isolate GW823-FHT04A11	328	GW823-FHT04A11.3	3751	ENIGMA Data Repository	5093115	4405	1
GW823-FHT04A11	Environmental isolate GW823-FHT04A11	328	GW823-FHT04A11.4	4205	KBase: 202353/529/1	5287621	4463	366
GW823-FHT05C09	Environmental isolate GW823-FHT05C09	112	GW823-FHT05C09.2	1088	ENIGMA Data Repository	5474393	4936	3
GW823-FHT05C09	Environmental isolate GW823-FHT05C09	112	GW823-FHT05C09.1	1089	KBase	5417442	4985	382
GW823-FHT05D11	Environmental isolate GW823-FHT05D11	112	GW823-FHT05D11.2	1095	ENIGMA Data Repository	5583386	5042	1
GW823-FHT05D11	Environmental isolate GW823-FHT05D11	112	GW823-FHT05D11.1	1096	KBase	5547112	5084	36
GW823-FHT05D11	Environmental isolate GW823-FHT05D11	112	GW823-FHT05D11.3	3752	ENIGMA Data Repository	5583588	5106	1
GW823-FHT05G12	Environmental isolate GW823-FHT05G12	194	GW823-FHT05G12.2	1103	ENIGMA Data Repository	6029235	5332	1
GW823-FHT05G12	Environmental isolate GW823-FHT05G12	194	GW823-FHT05G12.1	1104	KBase	5961563	5411	140
MLSB5-FHT05B04	Environmental isolate MLSB5-FHT05B04 Unconfirmed Organism.	194	MLSB5-FHT05B04.1	1129	KBase	11421938	10541	80
MLSD5-FHT05A06	Environmental isolate MLSD5-FHT05A06	1269	MLSD5-FHT05A06.2	1131	ENIGMA Data Repository	3564573	3323	2
MLSD5-FHT05A06	Environmental isolate MLSD5-FHT05A06	1269	MLSD5-FHT05A06.1	1132	KBase	3716199	3451	626
MLSD5-FHT05B12	Environmental isolate MLSD5-FHT05B12	27	MLSD5-FHT05B12.1	1136	KBase	4858403	4657	66
MLSD5-FHT05C12	Environmental isolate MLSD5-FHT05C12	1208	MLSD5-FHT05C12.2	1138	ENIGMA Data Repository	2586684	2432	3
MLSD5-FHT05C12	Environmental isolate MLSD5-FHT05C12	1208	MLSD5-FHT05C12.1	1139	KBase	2585850	2494	60
MPR-LB4	Environmental isolate MPR-LB4	1061	MPR-LB4.2	1157	ENIGMA Data Repository	3735522	3363	1
MT123	Environmental isolate MT123	1262	MT123.2	1182	ENIGMA Data Repository	3366678	3116	1
MT123	Environmental isolate MT123	1262	MT123.1	1183	KBase	3412102	3192	95
MT123	Environmental isolate MT123	1262	MT123.3	3754	ENIGMA Data Repository	3366678	3162	1
MT123	Environmental isolate MT123	1262	MT123.4	4242	NCBI:GCF_039614765.1	3366678	3184	1
MT20	Environmental isolate MT20 Unconfirmed Organism.	3279	MT20.1	1972	KBase: 143381/16/1	4331542	3878	54
MT20	Environmental isolate MT20 Unconfirmed Organism.	3279	MT20.3	3511	Lesea_C8R_7_polished	4463744	4030	3
MT49	Serratia liquefaciens	990	MT49.ncbi.1	1180	NCBI:GCF_014495865.1	5395544	5055	1
MT49	Serratia liquefaciens	990	MT49.2	1188	ENIGMA Data Repository	5395544	4950	1
MT49	Serratia liquefaciens	990	MT49.1	1189	KBase	5361910	5009	24
MT49	Serratia liquefaciens	990	MT49.3	4238	NCBI:GCF_014495865.1	5395544	5054	1
MT58	Pantoea sp. MT58	991	MT58.ncbi.1	1181	NCBI:GCF_014495885.1	4675847	4384	4
MT58	Pantoea sp. MT58	991	MT58.2	1190	ENIGMA Data Repository	4675686	4333	4
MT58	Pantoea sp. MT58	991	MT58.1	1191	KBase	4639086	4384	31
MT92	Environmental isolate MT92	3513	MT92.1	4030	ENIGMA Data Repository	6965481	6568	64
SSO-M6-C2-NECRO-RL66	Environmental isolate SSO-M6-C2-NECRO-RL66	3490	SSO-M6-C2-NECRO-RL66.1	4038	ENIGMA Data Repository	4355987	4221	60
